service,subject,description,urgency
payments,Charged twice for one order,"I can see two identical charges for the same purchase. I already cleared cookies and tried again. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need someone to investigate this immediately.",critical
payments,Apple Pay failed,"Hi, I noticed an issue. I can see two identical charges for the same purchase. I tried both Wi-Fi and mobile data.",medium
login,Signed out every time I refresh,I've tried this several times and it's getting frustrating. Login works in the browser but not in the mobile app.,low
payments,Card charged but order not created,"Apple Pay closes after Face ID and returns me to the payment page. I tried both Wi-Fi and mobile data. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
order tracking,No tracking information available,"Hi, I noticed an issue. The tracking number is not recognized by the carrier.",high
login,Login issue on mobile,"This should not be this difficult. The account says it is locked even though I only tried to sign in once today. The problem happens on both desktop and mobile. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed. I need an actual answer, not a generic response.",high
order tracking,No tracking information available,where is my order?,low
checkout,Checkout button does nothing,I've already retried a few times with no luck. My shipping address is valid but the form keeps saying it cannot be verified.,medium
checkout,Promo code breaks checkout,Applying a discount code makes the checkout page reload and lose my details. I already cleared cookies and tried again. Could someone look into this today if possible?,medium
login,Signed out every time I refresh,I've tried this several times and it's getting frustrating. Login works in the browser but not in the mobile app. I have not changed any account settings recently. Could someone look into this today if possible?,medium
search,Search results are irrelevant,"Searching for an exact product name returns unrelated items. This started after the latest app update. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
order tracking,Tracking hasn't updated,I've already retried a few times with no luck. The tracking link in the email opens a 404 page. This happens in Safari on my iPhone. Could someone look into this today if possible?,medium
checkout,Can't place my order,My shipping address is valid but the form keeps saying it cannot be verified. I also tried from another browser.,low
checkout,Address rejected during checkout,"Could someone please take a look? The page spins forever after I click Place order. I also tried from another browser. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed. Thanks.",medium
login,Signed out every time I refresh,"Hello, I hope you can help. The password reset link opens, but after setting a new password I still cannot log in. I reproduced it twice this morning. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible. Thanks.",low
login,Password reset not working,Just reporting something I ran into. The account says it is locked even though I only tried to sign in once today. This happens in Safari on my iPhone. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
checkout,Checkout won't complete,Applying a discount code makes the checkout page reload and lose my details. The problem happens on both desktop and mobile. This is preventing me from using the service.,high
login,Can't log in,sign in doesn't work,medium
notification,Too many notifications,"I've already retried a few times with no luck. I receive the same shipping notification three or four times. I already cleared cookies and tried again. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
order tracking,Tracking link is broken,"Hi, I noticed an issue. Your site says the package was delivered, but nothing was delivered to my address. I also tried from another browser.",high
login,Login issue on mobile,This keeps happening and I'm running out of things to try. I get an 'unexpected error' immediately after pressing Sign in. I have not changed any account settings recently. This is blocking my purchase and I need help as soon as possible.,high
payments,Payment pending for too long,"I've tried this several times and it's getting frustrating. The card was charged, but I never received an order number or confirmation. It's not blocking me right now, but I wanted to report it.",low
notification,Too many notifications,"I've already retried a few times with no luck. I disabled marketing emails, but I am still receiving them. This started after the latest app update. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I need someone to investigate this immediately.",critical
checkout,Still broken: Delivery option missing at checkout,"This should not be this difficult. I can add products to the cart, but the checkout button does not move to the next step. I reproduced it twice this morning. Could someone look into this today if possible? I need an actual answer, not a generic response.",medium
login,Login keeps failing,login broken,medium
payments,Payment declined but card is valid,"The refund is marked completed in my account, but the money is not back on my card. The problem happens on both desktop and mobile. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
checkout,Delivery option missing at checkout,"I've already retried a few times with no luck. The cart becomes empty as soon as I reach the payment step. I'm using Chrome on Windows 11. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is blocking my purchase and I need help as soon as possible.",high
checkout,Cart resets at checkout,There is no delivery method available even though you normally ship to my postcode. The problem happens on both desktop and mobile.,medium
login,Signed out every time I refresh,"Maybe I'm missing something, but this doesn't make sense. The account says it is locked even though I only tried to sign in once today. I have not changed any account settings recently. It's not blocking me right now, but I wanted to report it.",low
payments,Payment pending for too long,"I'm seeing a consistent problem with this. My bank shows the payment as approved, but your site says it was declined. This happens in Safari on my iPhone. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Please treat this as urgent; I am completely blocked. Reference: order/account details can be provided if needed.",critical
checkout,Address rejected during checkout,"I'm not sure if I'm doing something wrong. The page spins forever after I click Place order. I also tried from another browser. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
notification,Order confirmation email missing,SMS notifications stopped arriving even though my phone number is correct. This happens in Safari on my iPhone. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
login,Can't log in,I've tried this several times and it's getting frustrating. can't get into my account,medium
order tracking,Tracking link is broken,Your order page and the carrier page show different delivery statuses. I already cleared cookies and tried again.,medium
search,Search results are irrelevant,I've tried this several times and it's getting frustrating. A product I can open from my order history does not appear in search. This happens in Safari on my iPhone. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
search,Search page keeps reloading,"A product I can open from my order history does not appear in search. I have not changed any account settings recently. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. This is preventing me from using the service.",high
order tracking,Delivery date keeps changing,i'm a bit confused by what the site is showing me. the tracking number is not recognized by the carrier.,medium
notification,Shipping email has wrong info,"This keeps happening and I'm running out of things to try. I receive the same shipping notification three or four times. The problem happens on both desktop and mobile. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed.",low
checkout,Can't place my order,"The cart becomes empty as soon as I reach the payment step. I'm using Chrome on Windows 11. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. It's not blocking me right now, but I wanted to report it.",low
login,Password reset not working,"Hi, could you please help me with this? Login works in the browser but not in the mobile app. This happens in Safari on my iPhone. Could someone look into this today if possible? Thanks.",medium
payments,Charged twice for one order,"My bank shows the payment as approved, but your site says it was declined. This started after the latest app update. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
payments,Payment issue,payment problem,low
order tracking,Tracking link is broken,"Hi, I noticed an issue. Your order page and the carrier page show different delivery statuses. I reproduced it twice this morning. This is blocking my purchase and I need help as soon as possible.",high
login,2FA code never arrives,I've already retried a few times with no luck. Login works in the browser but not in the mobile app. I tried both Wi-Fi and mobile data. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
login,Can't sign in,"I requested the two-factor code several times and nothing has arrived. I reproduced it twice this morning. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I can work around it for now. Reference: order/account details can be provided if needed.",low
search,URGENT: Search returns no results,"This is really frustrating. A product I can open from my order history does not appear in search. I reproduced it twice this morning. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. No rush, but please check when possible. Reference: order/account details can be provided if needed. This has happened more than once.",low
checkout,Checkout problem,can't buy anything,medium
payments,Payment page error,I'm getting very annoyed with this. I can see two identical charges for the same purchase. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible. Please fix this.,high
checkout,Checkout won't complete,"Just reporting something I ran into. There is no delivery method available even though you normally ship to my postcode. It worked normally yesterday. I can wait a little, but I do need this resolved.",medium
order tracking,No tracking information available,package???,high
checkout,Address rejected during checkout,"Hello, I wanted to report a problem. Applying a discount code makes the checkout page reload and lose my details. I already cleared cookies and tried again. Could someone look into this today if possible?",medium
order tracking,No tracking information available,"Your site says the package was delivered, but nothing was delivered to my address. I'm using Chrome on Windows 11.",medium
search,Can't find an item I bought before,can't find anything,high
login,Login issue on mobile,"I've already wasted too much time on this. I enter the correct email and password but the page sends me back to the sign-in screen. I already cleared cookies and tried again. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible. Can someone sort this out?",low
search,Can't find product,results are weird,medium
order tracking,Tracking link is broken,I'm a bit confused by what the site is showing me. The tracking number is not recognized by the carrier. I have not changed any account settings recently.,medium
search,Can't find an item I bought before,"Seriously, what is going on? The category filter is selected, but products from other categories are still shown. I reproduced it twice this morning. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. Please treat this as urgent; I am completely blocked. Can someone sort this out?",critical
order tracking,No tracking information available,The tracking number is not recognized by the carrier. This started after the latest app update. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
login,Account locked after login attempt,I enter the correct email and password but the page sends me back to the sign-in screen.,medium
checkout,Checkout won't complete,I don't understand what is happening. My shipping address is valid but the form keeps saying it cannot be verified. The problem happens on both desktop and mobile.,medium
search,Sorting changes my filters,"Hi, could you please help me with this? Searching for an exact product name returns unrelated items. It worked normally yesterday. Thanks.",medium
login,Login issue on mobile,"I've already wasted too much time on this. I enter the correct email and password but the page sends me back to the sign-in screen. I need an actual answer, not a generic response.",medium
payments,Payment page error,"Hi, I noticed an issue. The payment has been showing as pending since yesterday. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
checkout,Can't place my order,My shipping address is valid but the form keeps saying it cannot be verified. I also tried from another browser. This is urgent because money/order access is affected and I need immediate assistance.,critical
notification,Push notifications stopped,"The order appears in my account, but I never received the confirmation email. I also tried from another browser. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
login,Signed out every time I refresh,The account says it is locked even though I only tried to sign in once today. This is preventing me from using the service.,high
notification,SMS alerts not arriving,I'm seeing a consistent problem with this. I receive the same shipping notification three or four times.,medium
notification,SMS alerts not arriving,"I'm seeing a consistent problem with this. The order appears in my account, but I never received the confirmation email. I reproduced it twice this morning. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
search,Again: Search returns no results,"Seriously, what is going on? The results page reloads whenever I scroll down. This started after the latest app update. This has happened more than once.",medium
search,Filters not working,"I'm seeing a consistent problem with this. Searching for an exact product name returns unrelated items. I tried both Wi-Fi and mobile data. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
search,Search is very slow,"I'm a bit confused by what the site is showing me. Searching for an exact product name returns unrelated items. I'm using Chrome on Windows 11. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
order tracking,Order status doesn't match carrier,"I'm not sure if I'm doing something wrong. The tracking link in the email opens a 404 page. I already cleared cookies and tried again. No rush, but please check when possible.",low
checkout,Again: Address rejected during checkout,"Seriously, what is going on? My shipping address is valid but the form keeps saying it cannot be verified. Please treat this as urgent; I am completely blocked. Please fix this.",critical
login,Password reset not working,"I'm seeing a consistent problem with this. The account says it is locked even though I only tried to sign in once today. This happens in Safari on my iPhone. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible. Reference: order/account details can be provided if needed.",low
checkout,Can't place my order,"The page spins forever after I click Place order. No rush, but please check when possible.",low
payments,Charged twice for one order,"Maybe I'm missing something, but this doesn't make sense. The card was charged, but I never received an order number or confirmation. I'm using Chrome on Windows 11. I can wait a little, but I do need this resolved.",medium
order tracking,No tracking information available,Just reporting something I ran into. The tracking number is not recognized by the carrier. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
payments,Apple Pay failed,I'm not sure if I'm doing something wrong. The payment has been showing as pending since yesterday. I have not changed any account settings recently. This is urgent because money/order access is affected and I need immediate assistance.,critical
order tracking,Delivery date keeps changing,"I've already wasted too much time on this. The tracking page has shown the same status for several days. This started after the latest app update. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed. This has happened more than once.",high
payments,Refund not received,"I don't understand what is happening. My bank shows the payment as approved, but your site says it was declined. I have not changed any account settings recently. I can wait a little, but I do need this resolved.",medium
login,Login issue on mobile,"This is really frustrating. Login works in the browser but not in the mobile app. I tried both Wi-Fi and mobile data. It's inconvenient and I haven't been able to finish what I was trying to do. I need an actual answer, not a generic response.",medium
payments,Wrong amount charged,"I don't understand what is happening. The refund is marked completed in my account, but the money is not back on my card. I also tried from another browser. I need this fixed today because I cannot continue.",high
notification,Getting duplicate notifications,I'm a bit confused by what the site is showing me. SMS notifications stopped arriving even though my phone number is correct.,medium
checkout,Checkout won't complete,I've tried this several times and it's getting frustrating. There is no delivery method available even though you normally ship to my postcode. This is preventing me from using the service.,high
notification,Can't turn off marketing emails,Push notifications used to work and stopped without me changing any settings. I have not changed any account settings recently.,medium
payments,Card charged but order not created,"The refund is marked completed in my account, but the money is not back on my card.",high
checkout,Checkout won't complete,"Maybe I'm missing something, but this doesn't make sense. I can add products to the cart, but the checkout button does not move to the next step. I also tried from another browser. Please treat this as urgent; I am completely blocked.",critical
login,Account locked after login attempt,This should not be this difficult. The account says it is locked even though I only tried to sign in once today. I have not changed any account settings recently. This has happened more than once.,medium
